Offset,Time
+0.002,16:27:08.397613
+0.000,16:27:09.442615
+0.007,16:27:10.493034
+0.001,16:27:11.526923
+0.001,16:27:12.562271
+0.001,16:27:13.599994
-0.017,16:27:14.684456
+0.002,16:27:15.726901
-0.030,16:27:16.834468
+0.002,16:27:17.873901
+0.002,16:27:18.912679
+0.001,16:27:19.952097
+0.001,16:27:20.989100
-0.000,16:27:22.030070
-0.000,16:27:23.067574
+0.000,16:27:24.106215
-0.041,16:27:25.230169
+0.002,16:27:26.271555
-0.031,16:27:27.380877
+0.000,16:27:28.422114
+0.045,16:27:29.545823
-0.000,16:27:30.585031
+0.001,16:27:31.624557
+0.001,16:27:32.663434
+0.001,16:27:33.702820
+0.001,16:27:34.744727
+0.001,16:27:35.786609
+0.001,16:27:36.823399
+0.000,16:27:37.860669
+0.000,16:27:38.898401
+0.002,16:27:39.937615
+0.002,16:27:40.981301
+0.000,16:27:42.015715
+0.001,16:27:43.052959
+0.002,16:27:44.094969
-0.032,16:27:45.201019
+0.001,16:27:46.242767
-0.026,16:27:47.349394
+0.002,16:27:48.390425
+0.002,16:27:49.429155
+0.001,16:27:50.468625
-0.022,16:27:51.553349
+0.002,16:27:52.591586
+0.003,16:27:53.630684
+0.001,16:27:54.671083
+0.001,16:27:55.713304
+0.001,16:27:56.755626
+0.001,16:27:57.794353
-0.042,16:27:58.919696
+0.002,16:27:59.957196
+0.002,16:28:01.002885
+0.001,16:28:02.044587
+0.019,16:28:03.119888
+0.001,16:28:04.159885
+0.002,16:28:05.199021
+0.002,16:28:06.242815
+0.001,16:28:07.285165
+0.001,16:28:08.322771
+0.002,16:28:09.360525
+0.002,16:28:10.403531
+0.002,16:28:11.445344
+0.002,16:28:12.485690
+0.002,16:28:13.528871
-0.002,16:28:14.577611
+0.003,16:28:15.622686
+0.003,16:28:16.667899
+0.001,16:28:17.762031
+0.003,16:28:18.807612
-0.022,16:28:19.914915
+0.002,16:28:20.960062
+0.002,16:28:22.023477
+0.003,16:28:23.064473
+0.001,16:28:24.109857
-0.041,16:28:25.238694
+0.001,16:28:26.278762
+0.002,16:28:27.330759
+0.002,16:28:28.377067
+0.018,16:28:29.452909
+0.002,16:28:30.495915
+0.004,16:28:31.541366
+0.003,16:28:32.585348
+0.002,16:28:33.628867
-0.032,16:28:34.741829
+0.002,16:28:35.784165
+0.002,16:28:36.827441
+0.000,16:28:37.866851
+0.001,16:28:38.915623
+0.002,16:28:39.958886
+0.002,16:28:41.003558
-0.041,16:28:42.136412
+0.002,16:28:43.179359
+0.038,16:28:44.296008
+0.001,16:28:45.332701
+0.001,16:28:46.374530
+0.002,16:28:47.413938
+0.002,16:28:48.450591
+0.001,16:28:49.507790
+0.000,16:28:50.551223
-0.029,16:28:51.660139
+0.001,16:28:52.698811
+0.001,16:28:53.738467
+0.001,16:28:54.777217
+0.002,16:28:55.816002
+0.002,16:28:56.861737
+0.002,16:28:57.896889
+0.003,16:28:58.932575
+0.000,16:28:59.971411
-0.023,16:29:01.077248
+0.000,16:29:02.122039
+0.001,16:29:03.158136
+0.000,16:29:04.198550
+0.001,16:29:05.247709
+0.001,16:29:06.295412
+0.001,16:29:07.343879
-0.028,16:29:08.452398
+0.001,16:29:09.498947
+0.001,16:29:10.541696
-0.002,16:29:11.591874
+0.001,16:29:12.640385
-0.046,16:29:13.775596
-0.000,16:29:14.811899
-0.027,16:29:15.929376
+0.000,16:29:16.976039
-0.004,16:29:18.076911
+0.001,16:29:19.117069
+0.001,16:29:20.156985
+0.002,16:29:21.196214
+0.003,16:29:22.231715
+0.001,16:29:23.267586
+0.002,16:29:24.310943
-0.046,16:29:25.450240
+0.001,16:29:26.488857
-0.031,16:29:27.598889
+0.001,16:29:28.636501
-0.026,16:29:29.745333
+0.002,16:29:30.794239
+0.000,16:29:31.844279
+0.002,16:29:32.887233
+0.004,16:29:33.934404
-0.044,16:29:35.074987
+0.002,16:29:36.120986
-0.121,16:29:37.416072
-0.002,16:29:38.502084
+0.000,16:29:39.538671
+0.001,16:29:40.577775
-0.001,16:29:41.630789
+0.001,16:29:42.670343
-0.027,16:29:43.779023
+0.001,16:29:44.816790
+0.001,16:29:45.855802
+0.001,16:29:46.896647
-0.018,16:29:47.977564
+0.000,16:29:49.019048
+0.002,16:29:50.056638
+0.001,16:29:51.098808
+0.027,16:29:52.190623
+0.002,16:29:53.236591
+0.016,16:29:54.330122
+0.001,16:29:55.367505
+0.001,16:29:56.411510
+0.002,16:29:57.455213
+0.003,16:29:58.493436
+0.002,16:29:59.535137
+0.002,16:30:00.578521
+0.010,16:30:01.699892
+0.002,16:30:02.742279
+0.001,16:30:03.778285
+0.002,16:30:04.816084
+0.001,16:30:05.856967
+0.001,16:30:06.897490
+0.004,16:30:07.944924
+0.003,16:30:08.984712
+0.002,16:30:10.026545
+0.002,16:30:11.064956
-0.018,16:30:12.145411
+0.001,16:30:13.186563
+0.001,16:30:14.224081
+0.001,16:30:15.263076
-0.011,16:30:16.342180
+0.001,16:30:17.381396
+0.001,16:30:18.417426
+0.001,16:30:19.457567
+0.001,16:30:20.496329
+0.001,16:30:21.535466
+0.002,16:30:22.576488
+0.001,16:30:23.615564
+0.003,16:30:24.651253
-0.026,16:30:25.768070
+0.001,16:30:26.804865
+0.002,16:30:27.846100
+0.002,16:30:28.884663
+0.001,16:30:29.924336
+0.002,16:30:30.961357
+0.003,16:30:32.001810
+0.007,16:30:33.045196
+0.002,16:30:34.083973
+0.002,16:30:35.121891
+0.003,16:30:36.161586
-0.009,16:30:37.230487
+0.002,16:30:38.273995
+0.001,16:30:39.315486
+0.001,16:30:40.352895
-0.019,16:30:41.430731
+0.001,16:30:42.471801
+0.001,16:30:43.514334
+0.001,16:30:44.553685
+0.001,16:30:45.586939
+0.001,16:30:46.625525
+0.002,16:30:47.667340
+0.002,16:30:48.710950
+0.046,16:30:49.837384
+0.002,16:30:50.881006
+0.003,16:30:51.920547
+0.002,16:30:52.962241
-0.003,16:30:54.011359
+0.001,16:30:55.052038
+0.002,16:30:56.092945
