Offset,Time
0.000849,20:23:33
-0.000740,20:23:34
0.000002,20:23:36
-0.000368,20:23:37
0.000238,20:23:38
0.000107,20:23:39
-0.000107,20:23:40
-0.000511,20:23:41
-0.000557,20:23:42
0.000072,20:23:43
-0.000350,20:23:44
-0.000090,20:23:46
-0.000375,20:23:47
0.000312,20:23:48
-0.000042,20:23:49
-0.000082,20:23:50
-0.000154,20:23:51
-0.000264,20:23:52
0.000422,20:23:53
-0.000090,20:23:54
0.000625,20:23:56
0.000677,20:23:57
0.000770,20:23:58
0.000123,20:23:59
0.000385,20:24:00
0.000167,20:24:01
0.000925,20:24:02
0.000801,20:24:03
0.000550,20:24:04
0.001039,20:24:05
-0.000271,20:24:07
-0.000346,20:24:08
-0.000577,20:24:09
0.000124,20:24:10
-0.000235,20:24:11
0.000092,20:24:12
-0.000375,20:24:13
0.000378,20:24:14
-0.000111,20:24:15
0.000476,20:24:17
0.000166,20:24:18
-0.000232,20:24:19
-0.000272,20:24:20
0.000115,20:24:21
-0.000315,20:24:22
0.000138,20:24:23
-0.000235,20:24:24
0.000213,20:24:25
0.000008,20:24:27
0.000241,20:24:28
-0.000100,20:24:29
0.000739,20:24:30
0.000788,20:24:31
0.000529,20:24:32
0.000449,20:24:33
0.000709,20:24:34
0.000517,20:24:35
0.000236,20:24:37
0.000644,20:24:38
0.000066,20:24:39
0.000040,20:24:40
0.000099,20:24:41
-0.000604,20:24:42
-0.000402,20:24:43
-0.000399,20:24:44
-0.000379,20:24:45
0.000047,20:24:47
-0.000192,20:24:48
0.000192,20:24:49
-0.000241,20:24:50
0.000420,20:24:51
-0.000071,20:24:52
0.000019,20:24:53
-0.000087,20:24:54
0.000610,20:24:55
0.000267,20:24:57
0.000673,20:24:58
0.000385,20:24:59
0.000286,20:25:00
0.000661,20:25:01
0.000370,20:25:02
0.000932,20:25:03
0.000971,20:25:04
0.000192,20:25:05
0.000247,20:25:06
0.000332,20:25:08
0.000739,20:25:09
0.000772,20:25:10
-0.000464,20:25:11
-0.000419,20:25:12
-0.000544,20:25:13
-0.000249,20:25:14
-0.000488,20:25:15
-0.000128,20:25:16
-0.000446,20:25:18
-0.000180,20:25:19
0.000071,20:25:20
-0.000203,20:25:21
0.000170,20:25:22
-0.000140,20:25:23
